DATE,Rm,Rf,SMB,HML,MOM
200501,6.7948,3.48,18.66745,-7.98909,-4.71073
200502,8.6761,3.55,3.42790,10.48102,10.50354
200503,-4.8578,3.54,-3.56190,2.85851,-2.89546
200504,-5.7420,3.48,0.79005,5.11877,2.39521
200505,6.8575,3.52,4.34058,-6.98654,-1.82599
200506,4.1318,3.54,5.61555,5.29008,11.15974
200507,10.2165,3.49,4.00107,4.03192,-0.49213
200508,-2.9228,3.51,-5.19791,1.33747,-1.42873
200509,12.9924,3.93,1.06412,7.17836,5.21797
200510,-4.4933,3.95,12.46542,-0.25181,1.27159
200511,12.8127,3.95,6.29959,-0.11391,5.33640
200512,5.6275,4.09,-6.71742,2.03421,-2.78136
200601,1.2146,4.18,-3.68059,-2.35312,-2.89159
200602,-2.0650,4.26,0.08307,0.64344,-0.68392
200603,-1.0807,4.27,-1.86753,4.19254,-0.51912
200604,4.2977,4.36,-2.52897,6.11246,2.58786
200605,-7.4055,4.36,-1.50989,-0.67834,-2.16963
200606,-2.1315,4.59,-2.99559,-1.31277,-0.68973
200607,-0.3276,4.64,-3.80563,2.17262,4.15643
200608,4.2150,4.68,-2.32273,0.70788,-4.95486
200609,1.6580,4.59,3.15128,1.28177,0.17269
200610,-0.8316,4.58,-0.45919,3.76943,3.64185
200611,5.1562,4.67,2.05234,6.02969,0.89406
200612,-0.1533,4.86,-3.95756,4.49205,1.85471
200701,-5.2021,4.96,2.50696,1.33277,0.82954
200702,4.1233,4.94,-0.14993,1.08396,3.22063
200703,3.0060,4.94,2.90916,2.78022,1.79821
200704,5.8745,5.00,-0.51067,5.66861,6.13005
200705,10.2202,5.06,1.75069,13.57620,8.93387
200706,2.8271,5.00,0.23421,-0.15738,-2.85761
200707,10.7007,5.10,-3.90941,8.84781,5.70481
200708,-3.1741,5.29,-1.03816,2.29635,5.15563
200709,3.6136,5.35,-5.01843,1.61282,6.52440
200710,5.6730,5.35,-12.13930,-4.71523,8.49429
200711,-7.7925,5.60,-0.80408,-0.65621,-8.02118
200712,-0.8450,5.82,-0.82201,0.42051,-4.44668
200801,-14.1879,5.50,4.78876,8.99082,-9.47289
200802,5.2974,5.18,0.84587,-1.98825,14.52337
200803,-0.3293,5.38,-2.01525,-2.11842,1.01685
200804,6.8893,5.36,-5.33630,4.25177,-4.54415
200805,1.0905,5.36,0.72813,1.89513,2.00362
200806,-9.4647,5.37,3.11298,2.68615,-2.20056
200807,-5.0894,5.68,-2.86070,1.52363,-0.16611
200808,-7.9035,5.79,-5.29624,9.18241,1.83028
200809,-2.0038,5.83,-4.38791,-3.95805,4.90939
200810,-22.7602,5.98,-9.55136,3.84814,12.14159
200811,-3.8794,5.45,2.89937,-4.51640,-5.48611
200812,4.5340,3.93,-0.06906,-1.49117,-10.53370
200901,3.7918,2.96,2.30822,-1.67262,-6.00269
200902,-7.8911,2.49,9.97028,-1.07870,2.78793
200903,13.8861,2.43,0.42998,-0.82578,-4.24233
200904,13.5366,2.41,9.34557,-0.31110,-7.56133
200905,2.0285,2.41,1.68923,1.56802,0.27062
200906,-0.6351,2.41,-3.44334,4.52902,-0.34825
200907,12.0901,2.41,-5.27515,6.41489,-5.19832
200908,2.2387,2.57,0.28867,1.89024,6.02709
200909,4.7227,2.75,-6.92012,3.39274,0.05215
