epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_MASE,val_RMSE,val_SMAPE,val_loss
0,49,,2.3794078826904297,,,,,,
0,99,,2.322375774383545,,,,,,
0,149,,2.2467267513275146,,,,,,
0,199,,2.232088565826416,,,,,,
0,249,,2.065314769744873,,,,,,
0,299,,2.015425205230713,,,,,,
0,321,,,2.2416837215423584,0.013715466484427452,1.052072525024414,5.919350624084473,0.013769116252660751,1.9642401933670044
0,321,2.362285852432251,,,,,,,
1,349,,2.1032333374023438,,,,,,
1,399,,2.3236424922943115,,,,,,
1,449,,2.147726058959961,,,,,,
1,499,,2.1121912002563477,,,,,,
1,549,,2.121004819869995,,,,,,
1,599,,2.1085498332977295,,,,,,
1,643,,,2.6026129722595215,0.015678096562623978,1.221449613571167,6.625580310821533,0.015833329409360886,2.080610513687134
1,643,2.03192138671875,,,,,,,
2,649,,2.254415273666382,,,,,,
2,699,,1.9722487926483154,,,,,,
2,749,,2.038160800933838,,,,,,
2,799,,2.0325353145599365,,,,,,
2,849,,1.9746345281600952,,,,,,
2,899,,1.9997501373291016,,,,,,
2,949,,1.9718021154403687,,,,,,
2,965,,,2.2963039875030518,0.01411921251565218,1.0696520805358887,5.977567195892334,0.014174917712807655,1.9576479196548462
2,965,1.9988826513290405,,,,,,,
3,999,,2.013481616973877,,,,,,
3,1049,,1.9454227685928345,,,,,,
3,1099,,2.1744916439056396,,,,,,
3,1149,,1.9421745538711548,,,,,,
3,1199,,1.9001582860946655,,,,,,
3,1249,,2.0214812755584717,,,,,,
3,1287,,,2.4027369022369385,0.01461803074926138,1.131420612335205,6.150814056396484,0.0147211579605937,2.0306742191314697
3,1287,1.97356116771698,,,,,,,
4,1299,,2.0221235752105713,,,,,,
4,1349,,1.944279670715332,,,,,,
4,1399,,1.9643237590789795,,,,,,
4,1449,,1.916534423828125,,,,,,
4,1499,,1.9839611053466797,,,,,,
4,1549,,1.989945411682129,,,,,,
4,1599,,1.9101173877716064,,,,,,
4,1609,,,2.265343189239502,0.01390589028596878,1.0488158464431763,5.739611625671387,0.0139462323859334,1.9539276361465454
4,1609,1.9653044939041138,,,,,,,
5,1649,,2.0239388942718506,,,,,,
5,1699,,1.8911670446395874,,,,,,
5,1749,,1.904868721961975,,,,,,
5,1799,,1.9460389614105225,,,,,,
5,1849,,1.9660835266113281,,,,,,
5,1899,,1.9591395854949951,,,,,,
5,1931,,,2.306933641433716,0.014162857085466385,1.0589258670806885,5.920901775360107,0.014157661236822605,1.9714428186416626
5,1931,1.956272840499878,,,,,,,
6,1949,,1.9990661144256592,,,,,,
6,1999,,2.068129777908325,,,,,,
6,2049,,1.9042425155639648,,,,,,
6,2099,,2.0027079582214355,,,,,,
6,2149,,1.9298759698867798,,,,,,
6,2199,,1.9769399166107178,,,,,,
6,2249,,2.004840612411499,,,,,,
