,default_payment_next_month
25553,0
14463,0
27267,1
18620,0
12238,1
7142,0
29394,0
8017,0
20939,0
5922,0
25456,0
9038,0
2468,0
17288,0
22924,0
11716,1
29446,0
18611,0
12714,0
11070,0
17452,1
24562,0
17816,0
10350,1
19370,0
15178,0
14685,0
6311,0
4817,0
11750,0
5209,0
22696,0
16094,1
11219,0
10191,0
14132,1
20573,0
28126,1
12124,0
12447,0
10479,0
17527,0
14355,0
25775,0
1344,1
5840,0
29424,0
21853,1
41,0
11531,0
18616,0
24135,1
2293,0
19597,0
20601,0
16521,1
24517,0
25410,0
25449,0
7192,1
11122,0
647,0
29155,1
9076,1
19140,0
4626,0
8200,0
9354,0
17765,0
22994,0
19196,0
10321,0
16912,0
11582,0
14743,0
19836,0
8650,0
11824,0
25631,0
12606,1
26556,1
22720,0
27823,1
16981,0
19963,0
2114,1
22282,0
4713,0
5312,0
8746,0
4081,0
12617,0
5632,0
4632,0
29921,1
2383,0
14501,0
16126,0
27816,0
16739,0
17067,0
14068,0
18227,0
26724,0
15319,0
18815,1
29767,0
28410,0
25074,0
21210,0
20871,0
20247,0
1548,1
10468,0
11046,0
7398,0
6091,0
15867,1
4287,0
27063,0
4794,0
13525,0
15997,0
15646,0
5513,0
7717,0
12725,0
11020,0
4010,0
28019,1
15834,1
18691,0
20423,0
9465,0
18218,0
14018,0
23084,0
14078,0
5714,1
8794,1
9419,0
2959,0
4593,0
22187,0
23478,0
455,0
5399,1
47,1
26689,1
10787,0
8215,1
2846,0
24676,0
11995,1
9485,0
3467,0
23687,1
16483,0
18497,0
7233,0
27752,0
1599,1
26753,0
7375,0
13302,0
22856,0
20533,0
4977,0
10154,0
20955,1
12471,0
15398,1
26026,0
12364,0
27809,0
21246,1
3208,0
18326,1
5927,1
29444,1
10512,0
26060,0
24507,0
5269,0
24920,0
14887,1
15522,0
19149,1
29414,0
13486,0
12486,0
22097,0
6172,0
21539,1
1476,0
8807,0
4454,1
21799,0
6406,1
660,0
22848,1
5310,0
29625,0
10427,0
14362,1
3354,0
18205,0
3271,0
8908,0
23923,0
12395,0
20699,0
12533,0
29761,0
16008,0
16784,1
3053,0
20198,0
23096,0
8383,1
9919,0
16349,1
16783,1
28281,0
7570,0
17099,0
2063,0
26303,0
10893,0
11127,0
15547,0
27508,0
14469,0
17744,0
15982,0
19383,0
4867,0
12967,0
6590,0
8435,0
14894,0
7624,0
29256,0
17033,1
28280,0
28845,0
17019,1
9920,0
17086,0
14216,1
4832,0
26770,0
7030,0
11606,0
2382,0
20244,0
5997,0
10568,0
17786,0
4202,0
24524,1
22487,0
29828,1
21360,0
25348,1
22429,0
2367,0
19107,0
8144,0
11186,1
15835,0
18078,0
995,0
11312,0
14447,0
23268,1
16742,0
8664,0
3244,0
18638,0
22986,0
20148,1
4441,0
16303,0
17687,1
1062,1
24481,1
8697,0
16809,0
4377,1
1271,0
111,0
7954,0
1156,0
29021,1
1319,0
2033,0
13038,0
1422,0
22662,0
2308,0
429,0
1856,0
26497,0
19374,0
2515,0
11805,1
24921,0
21759,1
5117,1
5054,0
27021,0
6845,1
15920,0
29098,0
28905,0
8523,1
14892,0
21593,0
20607,0
828,0
6380,0
1406,0
512,0
21026,0
20269,0
15114,0
24769,0
1501,0
10353,1
21193,0
16975,0
4190,0
9486,0
20527,1
28432,0
10447,1
28481,1
15252,1
6387,0
20596,1
18879,0
24982,0
23577,0
1786,1
6815,0
13546,0
22465,0
21300,0
15062,1
1801,0
17845,0
1341,0
20214,1
3017,1
20041,0
11411,0
19346,1
24299,0
15100,1
28818,1
757,1
28700,1
14533,0
27452,1
7008,0
25688,0
23362,0
13126,0
17492,0
20665,0
23853,0
16078,1
7690,0
21788,0
22633,1
24821,0
12791,0
93,0
28233,0
26020,0
16389,0
3255,0
23942,0
21121,0
23555,0
25265,0
11880,0
13555,1
15489,0
15853,1
6939,0
11808,0
19413,0
1090,0
3588,0
17381,0
21279,0
14738,0
19410,0
12393,0
5431,0
4541,0
26870,1
20626,0
11023,0
8460,0
16769,0
1633,0
15035,1
29965,0
24386,0
7159,0
7479,0
5582,0
18402,0
15698,0
19114,0
2935,1
343,0
6625,0
20346,0
26850,0
23830,0
18284,0
27904,0
11829,1
2862,0
135,0
15465,0
123,1
5791,0
19889,0
29674,0
4490,0
29955,0
24346,0
25807,0
11883,0
24698,0
22059,0
11247,0
2549,0
28067,0
6682,1
19464,0
5666,0
19137,0
8192,0
12825,0
13237,0
19853,1
15394,0
23450,0
11981,1
28402,1
793,0
8505,0
1718,0
12220,0
17819,0
10226,0
15216,0
4808,0
7031,0
3089,0
10566,0
19480,0
15962,0
14609,1
1546,0
9751,0
5126,0
9651,0
24530,0
26759,1
28486,0
10609,0
23267,0
23025,0
5224,0
29738,0
15763,0
19599,0
20150,0
753,0
24809,1
1502,0
8933,0
25111,0
794,0
15091,0
3216,1
2279,0
14323,0
15474,0
1518,0
11489,0
14703,0
22316,0
10672,0
14856,0
4428,0
12562,1
27621,0
17596,0
22741,0
21140,0
24140,0
25931,0
28049,1
13605,1
19745,0
16313,0
11551,0
26166,0
10441,0
15176,0
22039,0
21237,0
3147,1
7650,1
10524,1
23175,0
19519,1
2770,0
20311,0
10804,0
18951,1
15713,0
26429,0
6079,0
23999,1
28248,0
12499,0
5731,0
6195,0
12037,0
7506,1
28552,1
