epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_MASE,val_RMSE,val_SMAPE,val_loss
0,49,,3.1653380393981934,,,,,,
0,99,,2.437966823577881,,,,,,
0,149,,2.390636920928955,,,,,,
0,199,,2.4512200355529785,,,,,,
0,249,,2.2992160320281982,,,,,,
0,299,,2.1131625175476074,,,,,,
0,324,,,3.1038973331451416,0.013152554631233215,1.0717062950134277,11.642997741699219,0.013172087259590626,2.0299930572509766
0,324,2.5973267555236816,,,,,,,
1,349,,2.0970635414123535,,,,,,
1,399,,2.0444092750549316,,,,,,
1,449,,2.154240846633911,,,,,,
1,499,,1.9984108209609985,,,,,,
1,549,,2.218223810195923,,,,,,
1,599,,2.153071880340576,,,,,,
1,649,,2.0872833728790283,,,,,,
1,649,,,3.173952102661133,0.012755949050188065,1.0456197261810303,12.365121841430664,0.012765778228640556,2.0006461143493652
1,649,2.0960397720336914,,,,,,,
2,699,,2.0285613536834717,,,,,,
2,749,,2.2015600204467773,,,,,,
2,799,,2.0261330604553223,,,,,,
2,849,,1.9189656972885132,,,,,,
2,899,,2.157419204711914,,,,,,
2,949,,1.9327991008758545,,,,,,
2,974,,,2.96881103515625,0.012750609777867794,1.0338176488876343,11.408153533935547,0.012746955268085003,2.0023937225341797
2,974,2.0633797645568848,,,,,,,
3,999,,2.106372833251953,,,,,,
3,1049,,1.9687381982803345,,,,,,
3,1099,,2.2644803524017334,,,,,,
3,1149,,2.1412084102630615,,,,,,
3,1199,,2.168893814086914,,,,,,
3,1249,,1.9691441059112549,,,,,,
3,1299,,2.1178138256073,,,,,,
3,1299,,,2.9948432445526123,0.012398522347211838,1.0138022899627686,11.853967666625977,0.01242461521178484,1.9803882837295532
3,1299,2.0466065406799316,,,,,,,
4,1349,,2.2222142219543457,,,,,,
4,1399,,2.1283257007598877,,,,,,
4,1449,,1.9871480464935303,,,,,,
4,1499,,2.037935733795166,,,,,,
4,1549,,2.1110215187072754,,,,,,
4,1599,,2.1024675369262695,,,,,,
4,1624,,,3.1047298908233643,0.012918312102556229,1.0566072463989258,11.652129173278809,0.012990974821150303,2.003467559814453
4,1624,2.032583713531494,,,,,,,
5,1649,,2.164139986038208,,,,,,
5,1699,,1.9805476665496826,,,,,,
5,1749,,2.0974552631378174,,,,,,
5,1799,,1.9968338012695312,,,,,,
5,1849,,2.099515438079834,,,,,,
5,1899,,2.00516939163208,,,,,,
5,1949,,2.013643264770508,,,,,,
5,1949,,,3.0783939361572266,0.012646986171603203,1.0296971797943115,11.561747550964355,0.012652694247663021,2.000204086303711
5,1949,2.020871162414551,,,,,,,
6,1999,,1.9811731576919556,,,,,,
6,2049,,1.9646494388580322,,,,,,
6,2099,,2.1440343856811523,,,,,,
6,2149,,1.891951322555542,,,,,,
6,2199,,2.108684539794922,,,,,,
6,2249,,2.0187337398529053,,,,,,
6,2274,,,3.209498882293701,0.012603932060301304,1.040989875793457,12.828800201416016,0.012643592432141304,1.991158127784729
6,2274,2.0132226943969727,,,,,,,
7,2299,,2.0903568267822266,,,,,,
7,2349,,2.0312130451202393,,,,,,
7,2399,,1.9907901287078857,,,,,,
7,2449,,2.0410380363464355,,,,,,
7,2499,,2.0160117149353027,,,,,,
7,2549,,1.9582557678222656,,,,,,
7,2599,,1.8709996938705444,,,,,,
7,2599,,,3.145381450653076,0.013477983884513378,1.1022050380706787,11.795621871948242,0.013566896319389343,2.056368589401245
7,2599,2.0050511360168457,,,,,,,
8,2649,,1.9154975414276123,,,,,,
8,2699,,1.9519927501678467,,,,,,
8,2749,,2.0819954872131348,,,,,,
8,2799,,2.098351240158081,,,,,,
8,2849,,1.9660320281982422,,,,,,
8,2899,,1.9599342346191406,,,,,,
8,2924,,,2.941218137741089,0.012654189951717854,1.0335649251937866,11.081597328186035,0.012686124071478844,2.0242063999176025
8,2924,1.9964925050735474,,,,,,,
9,2949,,1.9362068176269531,,,,,,
9,2999,,1.9539775848388672,,,,,,
9,3049,,1.9413610696792603,,,,,,
9,3099,,2.003472089767456,,,,,,
9,3149,,2.0476391315460205,,,,,,
9,3199,,2.034196138381958,,,,,,
9,3249,,2.0921435356140137,,,,,,
9,3249,,,3.098342180252075,0.013012860901653767,1.062792420387268,11.466466903686523,0.013073326088488102,2.019559383392334
9,3249,1.9907801151275635,,,,,,,
10,3299,,2.146935224533081,,,,,,
10,3349,,2.0179977416992188,,,,,,
10,3399,,1.821961760520935,,,,,,
10,3449,,2.002368450164795,,,,,,
10,3499,,2.0037174224853516,,,,,,
10,3549,,1.9860426187515259,,,,,,
