IDX_CD,CMP_CD,CMP_KOR,SEC_NM_KOR,기준일
G25,005380,현대차,경기관련소비재,2024-06-20
G25,000270,기아,경기관련소비재,2024-06-20
G25,012330,현대모비스,경기관련소비재,2024-06-20
G25,090430,아모레퍼시픽,경기관련소비재,2024-06-20
G25,051900,LG생활건강,경기관련소비재,2024-06-20
G25,161390,한국타이어앤테크놀로지,경기관련소비재,2024-06-20
G25,021240,코웨이,경기관련소비재,2024-06-20
G25,081660,휠라홀딩스,경기관련소비재,2024-06-20
G25,035250,강원랜드,경기관련소비재,2024-06-20
G25,008770,호텔신라,경기관련소비재,2024-06-20
G25,278470,에이피알,경기관련소비재,2024-06-20
G25,204320,HL만도,경기관련소비재,2024-06-20
G25,192820,코스맥스,경기관련소비재,2024-06-20
G25,257720,실리콘투,경기관련소비재,2024-06-20
G25,139480,이마트,경기관련소비재,2024-06-20
G25,161890,한국콜마,경기관련소비재,2024-06-20
G25,004170,신세계,경기관련소비재,2024-06-20
G25,065350,신성델타테크,경기관련소비재,2024-06-20
G25,383220,F&F,경기관련소비재,2024-06-20
G25,011210,현대위아,경기관련소비재,2024-06-20
G25,004490,세방전지,경기관련소비재,2024-06-20
G25,002790,아모레G,경기관련소비재,2024-06-20
G25,282330,BGF리테일,경기관련소비재,2024-06-20
G25,298020,효성티앤씨,경기관련소비재,2024-06-20
G25,018880,한온시스템,경기관련소비재,2024-06-20
G25,007070,GS리테일,경기관련소비재,2024-06-20
G25,018290,브이티,경기관련소비재,2024-06-20
G25,111770,영원무역,경기관련소비재,2024-06-20
G25,023530,롯데쇼핑,경기관련소비재,2024-06-20
G25,069960,현대백화점,경기관련소비재,2024-06-20
G25,005850,에스엘,경기관련소비재,2024-06-20
G25,048410,현대바이오,경기관련소비재,2024-06-20
G25,039130,하나투어,경기관련소비재,2024-06-20
G25,034230,파라다이스,경기관련소비재,2024-06-20
G25,073240,금호타이어,경기관련소비재,2024-06-20
G25,025540,한국단자,경기관련소비재,2024-06-20
G25,241710,코스메카코리아,경기관련소비재,2024-06-20
G25,009970,영원무역홀딩스,경기관련소비재,2024-06-20
G25,215200,메가스터디교육,경기관련소비재,2024-06-20
G25,015750,성우하이텍,경기관련소비재,2024-06-20
G25,009450,경동나비엔,경기관련소비재,2024-06-20
G25,003620,KG모빌리티,경기관련소비재,2024-06-20
G25,064960,SNT모티브,경기관련소비재,2024-06-20
G25,114090,GKL,경기관련소비재,2024-06-20
G25,119860,커넥트웨이브,경기관련소비재,2024-06-20
G25,000240,한국앤컴퍼니,경기관련소비재,2024-06-20
G25,114840,아이패밀리에스씨,경기관련소비재,2024-06-20
G25,057050,현대홈쇼핑,경기관련소비재,2024-06-20
G25,105630,한세실업,경기관련소비재,2024-06-20
G25,001530,DI동일,경기관련소비재,2024-06-20
G25,025980,아난티,경기관련소비재,2024-06-20
G25,032350,롯데관광개발,경기관련소비재,2024-06-20
G25,352480,씨앤씨인터내셔널,경기관련소비재,2024-06-20
G25,007340,DN오토모티브,경기관련소비재,2024-06-20
G25,215000,골프존,경기관련소비재,2024-06-20
G25,009900,명신산업,경기관련소비재,2024-06-20
G25,064800,젬백스링크,경기관련소비재,2024-06-20
G25,041020,폴라리스오피스,경기관련소비재,2024-06-20
G25,060280,큐렉소,경기관련소비재,2024-06-20
G25,093050,LF,경기관련소비재,2024-06-20
G25,007700,F&F홀딩스,경기관련소비재,2024-06-20
G25,060980,HL홀딩스,경기관련소비재,2024-06-20
G25,002350,넥센타이어,경기관련소비재,2024-06-20
G25,200880,서연이화,경기관련소비재,2024-06-20
G25,271940,일진하이솔루스,경기관련소비재,2024-06-20
G25,036620,감성코퍼레이션,경기관련소비재,2024-06-20
G25,020000,한섬,경기관련소비재,2024-06-20
G25,080160,모두투어,경기관련소비재,2024-06-20
G25,031430,신세계인터내셔날,경기관련소비재,2024-06-20
G25,010690,화신,경기관련소비재,2024-06-20
G25,003570,SNT다이내믹스,경기관련소비재,2024-06-20
G25,000430,대원강업,경기관련소비재,2024-06-20
G25,237880,클리오,경기관련소비재,2024-06-20
G25,151860,KG에코솔루션,경기관련소비재,2024-06-20
G25,006730,서부T&D,경기관련소비재,2024-06-20
G25,230360,에코마케팅,경기관련소비재,2024-06-20
G25,018250,애경산업,경기관련소비재,2024-06-20
G25,001390,KG케미칼,경기관련소비재,2024-06-20
G25,381970,케이카,경기관련소비재,2024-06-20
G25,024720,콜마홀딩스,경기관련소비재,2024-06-20
G25,270660,에브리봇,경기관련소비재,2024-06-20
G25,035150,백산,경기관련소비재,2024-06-20
G25,118990,모트렉스,경기관련소비재,2024-06-20
G25,126600,BGF에코머티리얼즈,경기관련소비재,2024-06-20
G25,452260,한화갤러리아,경기관련소비재,2024-06-20
G25,096240,크레버스,경기관련소비재,2024-06-20
G25,035080,그래디언트,경기관련소비재,2024-06-20
G25,011330,유니켐,경기관련소비재,2024-06-20
G25,424960,스마트레이더시스템,경기관련소비재,2024-06-20
G25,006060,화승인더,경기관련소비재,2024-06-20
G25,192400,쿠쿠홀딩스,경기관련소비재,2024-06-20
G25,009810,플레이그램,경기관련소비재,2024-06-20
G25,092730,네오팜,경기관련소비재,2024-06-20
